agent_level,title,dob,gender,marital_status,date_joined,status,substatus,termination_date,city_name,cluster_code,agent_code,supervisor_code,zone_code,region_code,designation
L2,Mr.,1987/03/01,Male,Married,2018/10/08,TERMINATED,AUTOTERMINATED,2019/07/19,Negombo,LA01001,AG109122,AG105875,ZONE106,RA238,Advisor
L2,Ms.,1996/06/01,Female,Single,2018/11/23,TERMINATED,RESIGNED UNAPPROVED,2019/05/06,Ruwanwella,LA01002,AG103598,AG105198,ZONE114,RA261,Advisor
L2,Mr.,1997/04/01,Male,Single,2019/02/13,TERMINATED,AUTOTERMINATED,2019/08/16,Chenkaladi,LA01004,AG107282,AG107912,ZONE107,RA231,Advisor
L2,Mrs.,1971/12/01,Female,Married,2019/07/23,TERMINATED,AUTOTERMINATED,2019/12/23,Walahanduwa,LA01002,AG101027,AG106632,ZONE111,RA223,Advisor
L2,Mr.,2000/09/01,Male,,2019/09/20,TERMINATED,RESIGNED UNAPPROVED,2020/06/10,Horana,LA01002,AG104179,AG104332,ZONE109,RA249,Advisor
L2,Mr.,1991/06/01,Male,,2019/09/27,TERMINATED,RESIGNED UNAPPROVED,2020/05/05,Rambukkana,LA01001,AG104273,AG106960,ZONE103,RA267,Advisor
L2,Mrs.,1983/04/01,Female,Married,2019/09/27,TERMINATED,RESIGNED UNAPPROVED,2021/03/19,Dambulla,LA01006,AG104388,AG107035,ZONE102,RA290,Advisor
L2,Mr.,1992/09/01,Male,Single,2019/10/24,TERMINATED,RESIGNED UNAPPROVED,2020/01/29,Gampaha,LA01002,AG104407,AG104545,ZONE114,RA257,Advisor
L2,Mr.,1994/04/01,Male,Single,2019/12/19,TERMINATED,RESIGNED APPROVED,2020/01/13,Marawila,LA01001,AG102208,AG105507,ZONE106,RA204,Advisor
L6,Mr.,1977/03/01,Male,Married,2020/03/24,INFORCED,ACTIVE,,Galigamuwa,LA01001,AG107363,AG101697,ZONE103,RA267,Regional Manager
L2,Mr.,1965/05/01,Male,,2020/08/28,TERMINATED,RESIGNED APPROVED,2021/03/09,Kohuwala,LA01001,AG100178,AG102435,ZONE104,RA283,Advisor
L3,Mr.,1978/07/01,Male,Married,2020/09/16,TERMINATED,RESIGNED APPROVED,2020/10/13,Welimada,LA01002,AG104452,AG107580,ZONE105,RA235,Team Leader
L2,Mr.,1998/04/01,Male,Single,2020/09/24,INFORCED,ACTIVE,,Vavuniya,LA01004,AG102910,AG103231,ZONE101,RA253,Advisor
L2,Mr.,1976/12/01,Male,Married,2020/11/09,TERMINATED,RESIGNED UNAPPROVED,2021/02/08,Tangalla,LA01002,AG104354,AG100729,ZONE111,RA266,Advisor
L1,,,,,2001/12/14,INFORCED,ACTIVE,,Colombo 03,LB05001,,,,,
L1,,,,,2001/12/14,INFORCED,ACTIVE,,Colombo 03,LB05001,,,,,
L1,,,,,2021/03/09,INFORCED,ACTIVE,,Colombo 03,LB03001,,,,,
L1,,,,,2021/03/09,INFORCED,ACTIVE,,Colombo 03,LB03001,,,,,
L1,,,,,2019/03/19,INFORCED,ACTIVE,,Colombo 05,LC02001,,,,,
L4,Mr.,1986/12/01,Male,,2015/05/15,INFORCED,ACTIVE,,Marawila,LC01001,,,,,Sales Manager
L1,Mr.,1975/07/01,Male,,2014/08/26,INFORCED,ACTIVE,,Hendala,LA01001,,,,,
L1,,,,,2019/01/19,INFORCED,ACTIVE,,Colombo 03,LB03001,,,,,
L1,,,,,2019/01/19,INFORCED,ACTIVE,,Colombo 03,LB03001,,,,,
L1,Mr.,1986/02/01,Male,Single,2019/07/26,INFORCED,ACTIVE,,Moratuwa,LA01001,,,,,
L1,Mr.,,,,2020/11/16,INFORCED,ACTIVE,,NIKAWERATIYA,LA01002,,,,,
L1,Mr.,,,,2020/11/17,INFORCED,ACTIVE,,DEWALEGAMA,LA01001,,,,,
L1,Mr.,,,,2020/11/17,INFORCED,ACTIVE,,HOKANDRA,LA01001,,,,,
L1,Mr.,,,,2020/11/23,INFORCED,ACTIVE,,MANNAR,LA01004,,,,,
L1,Ms.,,,,2020/11/24,TERMINATED,AUTOTERMINATED,2020/12/07,Colombo 6,LA01001,,,,,
L1,Mr.,,,,2020/11/26,INFORCED,ACTIVE,,KATUPOTHA,LA01002,,,,,
L2,Ms.,2000/07/01,Female,Single,2020/02/10,TERMINATED,RESIGNED APPROVED,2020/11/10,Kulugammana,LB05001,,,,,Advisor
L7,Mr.,,Male,,,INFORCED,,,,LA01006,,,,,Zonal Manager
L2,Mr.,1964/08/01,Male,,1994/10/14,INFORCED,ACTIVE,,Kochchikade,LA01001,AG108118,AG100997,ZONE106,RA203,Advisor
L2,Mr.,1953/10/01,Male,,2002/12/27,TERMINATED,AUTOTERMINATED,2020/10/14,Galgamuwa,LA01002,AG100703,AG100799,ZONE113,RA234,Advisor
L2,Mrs.,1982/03/01,Female,,2015/02/24,INFORCED,ACTIVE,,Dodanduwa,LA01002,AG106399,AG108669,ZONE111,RA240,Advisor
L5,Mr.,1989/04/01,Male,,2011/01/11,INFORCED,ACTIVE,,Allaipiddi,LA01004,AG105599,AG106103,ZONE101,RA215,Trainee Regional Sales Manager
L3,Mr.,1979/03/01,Male,,2017/07/28,TERMINATED,TERMINATED BY SFA,2019/07/26,Panadura,LA01001,AG102351,AG106518,ZONE104,RA283,Team Leader
L2,Mr.,1985/10/01,Male,,2017/09/12,TERMINATED,AUTOTERMINATED,2019/03/31,Polonnaruwa,LA01006,AG102922,AG103459,ZONE102,RA271,Advisor
L2,Mr.,1997/04/01,Male,,2017/12/27,TERMINATED,RESIGNED APPROVED,2018/10/19,Colombo 03,LA01002,AG104968,AG100933,ZONE109,RA227,Advisor
L2,Mrs.,1958/09/01,Female,,2018/03/05,TERMINATED,AUTOTERMINATED,2019/07/19,Colombo 03,LA01001,AG104923,AG101204,ZONE106,RA238,Advisor
L3,Mr.,1989/01/01,Male,,2018/03/05,TERMINATED,AUTOTERMINATED,2019/03/31,Colombo 03,LA01003,AG101578,AG106796,ZONE113,RA287,Team Leader
L2,Mr.,1983/09/01,Male,,2018/03/19,TERMINATED,RESIGNED APPROVED,2018/08/13,Colombo 03,LA01002,AG108435,AG106436,ZONE111,RA217,Advisor
L3,Mr.,1977/01/01,Male,,2018/04/03,TERMINATED,RESIGNED UNAPPROVED,2020/01/22,Colombo 03,LA01001,AG107825,AG106362,ZONE115,RA222,Team Leader
L3,Mr.,1987/09/01,Male,,2018/07/05,TERMINATED,TERMINATED BY SFA,2019/05/31,Matara,LA01002,AG104459,AG101697,ZONE111,RA217,Team Leader
L6,Mr.,1971/08/01,Male,Married,2018/08/24,TERMINATED,TERMINATED BY SFA,2019/05/22,Tangalla,LA01005,AG106028,AG101697,ZONE100,RA289,Regional Manager
L2,Mr.,1970/01/01,Male,Married,2018/09/06,TERMINATED,TERMINATED BY SFA,2019/03/12,Embilipitiya,LA01005,AG104065,AG109139,ZONE100,RA252,Advisor
L2,Mr.,1970/03/01,Male,Married,2019/01/29,TERMINATED,RESIGNED APPROVED,2019/07/12,Kalmunai,LA01004,AG105212,AG102841,ZONE107,RA242,Advisor
L2,Mr.,1977/11/01,Male,Married,2019/03/28,TERMINATED,AUTOTERMINATED,2019/07/19,Ragama,LA01001,AG104843,AG107241,ZONE110,RA248,Advisor
L3,Ms.,1994/05/01,Female,,2019/06/12,TERMINATED,RESIGNED APPROVED,2020/05/31,Mannar,LA01004,AG107537,AG104535,ZONE101,RA265,Team Leader
L2,Mrs.,1995/06/01,Female,Married,2019/08/29,TERMINATED,RESIGNED UNAPPROVED,2020/07/08,Dambulla,LA01006,AG105659,AG102095,ZONE102,RA290,Advisor
L2,Mr.,1983/01/01,Male,Married,2019/08/29,TERMINATED,AUTOTERMINATED,2021/02/22,Polonnaruwa,LA01006,AG106877,AG100412,ZONE102,RA271,Advisor
L2,Ms.,1999/01/01,Female,Single,2019/09/17,TERMINATED,RESIGNED UNAPPROVED,2020/01/27,Negombo,LA01001,AG104505,AG100776,ZONE106,RA238,Advisor
L2,Mr.,1997/10/01,Male,Single,2019/09/30,INFORCED,ACTIVE,,Inginiyagala,LA01002,AG108052,AG100536,ZONE105,RA236,Advisor
L2,Mr.,2000/03/01,Male,Single,2019/12/31,INFORCED,ACTIVE,,Jaffna,LA01004,AG105258,AG102212,ZONE101,RA215,Advisor
L2,Mr.,1999/10/01,Male,Single,2020/01/07,TERMINATED,RESIGNED APPROVED,2020/06/12,Kalmunai,LA01004,AG103434,AG101614,ZONE107,RA242,Advisor
L2,Ms.,1996/09/01,Female,Single,2020/01/16,INFORCED,ACTIVE,,Dedigamuwa,LA01002,AG104145,AG101750,ZONE114,RA247,Advisor
L2,Mr.,1967/10/01,Male,Married,2020/01/17,INFORCED,ACTIVE,,Elpitiya,LA01002,AG100749,AG106034,ZONE111,RA240,Advisor
L2,Ms.,1996/10/01,Female,Single,2020/08/24,TERMINATED,AUTOTERMINATED,2021/02/22,Weboda,LA01001,AG106770,AG107653,ZONE104,RA243,Advisor
L2,Mrs.,1978/04/01,Female,Married,2020/09/08,INFORCED,ACTIVE,,Heiyanthuduwa,LA01001,AG101308,AG101052,ZONE110,RA281,Advisor
L2,Ms.,1998/02/01,Female,Single,2020/09/30,INFORCED,ACTIVE,,Ambalangoda,LA01002,AG100422,AG107624,ZONE109,RA227,Advisor
L2,Mr.,1980/01/01,Male,Married,2020/11/06,INFORCED,ACTIVE,,Mannar,LA01004,AG101631,AG103884,ZONE101,RA265,Advisor
L2,Ms.,2000/08/01,Female,Single,2021/01/22,INFORCED,ACTIVE,,Gampola,LA01001,AG107798,AG103870,ZONE115,RA255,Advisor
L2,Ms.,2000/10/01,Female,Single,2021/01/30,INFORCED,ACTIVE,,Colombo 14,LA01001,AG107453,AG100968,ZONE104,RA264,Advisor
L2,Mrs.,1976/11/01,Female,Married,2021/02/25,INFORCED,ACTIVE,,Ranala,LA01001,AG100167,AG108134,ZONE104,RA263,Advisor
L2,Ms.,1999/05/01,Female,Single,2021/03/11,INFORCED,ACTIVE,,Jaffna,LA01004,AG106761,AG107892,ZONE101,RA215,Advisor
L1,,,,,2001/12/14,INFORCED,ACTIVE,,Colombo 03,LB05001,,,,,
L1,,,,,2001/12/14,INFORCED,ACTIVE,,Colombo 03,LB05001,,,,,
L1,,,,,2018/01/16,INFORCED,ACTIVE,,Colombo 03,LB01001,,,,,
L1,,,,,2001/12/14,INFORCED,ACTIVE,,Colombo 03,LB02001,,,,,
L1,,,,,2001/12/14,INFORCED,ACTIVE,,Colombo 03,LB02001,,,,,
L1,,,,,2020/10/29,INFORCED,ACTIVE,,Colombo 03,LB02001,,,,,
L1,,,,,2001/12/14,INFORCED,ACTIVE,,Colombo 03,LB03001,,,,,
L1,,,,,2001/12/14,INFORCED,ACTIVE,,Colombo 03,LB03001,,,,,
L4,Mr.,1988/04/01,Male,,2011/07/07,INFORCED,ACTIVE,,Colombo 03,LB01001,,,,,Sales Manager
L2,Mr.,1998/11/01,Male,Single,2020/01/13,INFORCED,ACTIVE,,Sandilipay,LB01001,,,,,Advisor
L1,,,,,2019/03/19,INFORCED,ACTIVE,,Colombo 05,LC02001,,,,,
L1,,,,,2019/03/19,INFORCED,ACTIVE,,Colombo 05,LC02001,,,,,
L1,Mr.,1999/01/01,Male,,1990/08/01,INFORCED,ACTIVE,,Colombo 11,LC01001,,,,,
L1,Mr.,1977/01/01,Male,,2015/05/29,INFORCED,ACTIVE,,Colombo 03,LC01001,,,,,
L1,Mr.,,,,2020/11/17,INFORCED,ACTIVE,,POLGOLLA,LA01001,,,,,
L1,Ms.,,,,2020/11/21,TERMINATED,AUTOTERMINATED,2020/12/23,DODANDUWA,LA01002,,,,,
L1,Mr.,,,,2021/01/27,INFORCED,ACTIVE,,BERUWALA,LA01002,,,,,
L2,Ms.,1992/12/01,Female,,2016/01/08,INFORCED,ACTIVE,,Kurunegala,LB02001,,,,,Advisor
L11,Miss.,,Female,,,INFORCED,,,,,,,,,National Manager
L2,Mr.,1957/02/01,Male,,1999/04/19,INFORCED,ACTIVE,,Watugedara,LA01002,AG108741,AG103557,ZONE109,RA227,Advisor
L2,Mr.,1982/03/01,Male,,2002/06/26,TERMINATED,AUTOTERMINATED,2019/03/31,Piliyandala,LA01001,AG101019,AG100875,ZONE110,RA248,Advisor
L2,Mrs.,1972/09/01,Female,,2012/03/01,INFORCED,ACTIVE,,Anuradhapura,LA01006,AG102183,AG100981,ZONE102,RA245,Advisor
L3,Mr.,1979/02/01,Male,,2001/04/28,INFORCED,ACTIVE,,Hingurakgoda,LA01006,AG106753,AG105814,ZONE102,RA214,Team Leader
L2,Mr.,1975/09/01,Male,,2017/08/29,TERMINATED,AUTOTERMINATED,2019/08/16,Hungama,LA01002,AG105490,AG100655,ZONE105,RA220,Advisor
L2,Mr.,1953/09/01,Male,,2013/01/08,TERMINATED,RESIGNED UNAPPROVED,2018/10/16,Allaipiddi,LA01004,AG101289,AG108332,ZONE101,RA241,Advisor
L2,Mr.,1971/03/01,Male,,2018/01/04,TERMINATED,AUTOTERMINATED,2021/02/22,Colombo 03,LA01001,AG102704,AG108624,ZONE103,RA267,Advisor
L2,Mr.,1975/12/01,Male,,2018/01/26,TERMINATED,AUTOTERMINATED,2019/03/31,Colombo 03,LA01001,AG102279,AG105875,ZONE106,RA238,Advisor
L2,Mr.,1987/10/01,Male,,2017/11/02,TERMINATED,RESIGNED APPROVED,2018/10/02,Colombo 03,LA01001,AG100650,AG100156,ZONE115,RA205,Advisor
L3,Mr.,1992/05/01,Male,,2018/05/09,TERMINATED,TERMINATED BY SFA,2019/06/12,Colombo 03,LA01006,AG105908,AG102960,ZONE102,RA256,Team Leader
L2,Mr.,1981/12/01,Male,,2018/06/21,TERMINATED,RESIGNED APPROVED,2018/12/12,Colombo 03,LA01002,AG107559,AG106128,ZONE114,RA269,Advisor
L2,Mr.,1978/02/01,Male,,2018/06/26,TERMINATED,AUTOTERMINATED,2018/10/31,Colombo 03,LA01002,AG102145,AG107519,ZONE114,RA247,Advisor
L2,Mr.,1994/05/01,Male,,2018/06/28,TERMINATED,TERMINATED BY SFA,2019/05/31,Colombo 03,LA01002,AG101500,AG101697,ZONE105,RA233,Advisor
L2,Mrs.,1985/09/01,Female,Married,2018/08/07,TERMINATED,AUTOTERMINATED,2018/10/31,Akuressa,LA01002,AG102963,AG104975,ZONE111,RA278,Advisor
L2,Mrs.,1979/07/01,Female,Married,2018/10/02,INFORCED,ACTIVE,,Nugegoda,LA01002,AG106043,AG105350,ZONE114,RA257,Advisor
L2,Mr.,1972/10/01,Male,Married,2019/01/18,TERMINATED,AUTOTERMINATED,2019/11/25,Padukka,LA01002,AG103210,AG105457,ZONE114,RA259,Advisor
L2,Mr.,1981/01/01,Male,Married,2019/03/13,TERMINATED,RESIGNED UNAPPROVED,2020/07/13,Jaffna,LA01004,AG106546,AG104596,ZONE101,RA206,Advisor
L2,Ms.,1997/05/01,Female,Single,2019/03/27,TERMINATED,AUTOTERMINATED,2019/07/19,Urugamuwa,LA01002,AG100728,AG107049,ZONE111,RA217,Advisor
L2,Mrs.,1980/09/01,Female,Married,2019/04/02,INFORCED,ACTIVE,,Moratuwa,LA01001,AG107257,AG103745,ZONE104,RA283,Advisor
L2,Mrs.,1989/08/01,Female,Married,2019/05/22,TERMINATED,AUTOTERMINATED,2019/10/21,Beliatta,LA01002,AG105193,AG100729,ZONE111,RA266,Advisor
L2,Ms.,1994/01/01,Female,Single,2019/06/10,TERMINATED,AUTOTERMINATED,2019/10/21,Monaragala,LA01002,AG105334,AG107663,ZONE105,RA216,Advisor
L2,Mrs.,1994/01/01,Female,,2019/06/11,TERMINATED,RESIGNED APPROVED,2019/08/29,Jaffna,LA01004,AG107125,AG105983,ZONE101,RA241,Advisor
L2,Mr.,1987/03/01,Male,Married,2019/06/25,TERMINATED,AUTOTERMINATED,2019/11/25,Beruwala,LA01002,AG105284,AG104638,ZONE109,RA254,Advisor
L2,Mrs.,1995/04/01,Female,Married,2019/06/28,TERMINATED,RESIGNED APPROVED,2019/08/26,Medirigiriya,LA01006,AG108953,AG102471,ZONE102,RA214,Advisor
L2,Mr.,1998/11/01,Male,Single,2019/11/08,TERMINATED,RESIGNED UNAPPROVED,2020/01/22,Kandy,LA01001,AG100955,AG103346,ZONE115,RA222,Advisor
L2,Ms.,1999/02/01,Female,Single,2019/11/18,INFORCED,ACTIVE,,Colombo 09,LA01001,AG103590,AG106598,ZONE110,RA248,Advisor
L3,Mr.,1992/10/01,Male,Married,2020/05/19,INFORCED,ACTIVE,,Medirigiriya,LA01006,AG103930,AG108675,ZONE102,RA214,Team Leader
L2,Ms.,1997/02/01,Female,Single,2020/05/21,SUSPENDED,SUSPENDED GENERAL,,Rajagiriya,LA01001,AG108800,AG103862,ZONE110,RA248,Advisor
L2,Mrs.,1965/10/01,Female,Married,2020/05/30,INFORCED,ACTIVE,,Bandaragama,LA01001,AG101296,AG101052,ZONE110,RA281,Advisor
L2,Ms.,2000/08/01,Female,Single,2020/06/26,TERMINATED,AUTOTERMINATED,2020/12/31,Ambalangoda,LA01002,AG107119,AG103044,ZONE109,RA227,Advisor
L2,Mr.,1959/11/01,Male,Married,2020/07/08,INFORCED,ACTIVE,,Kandy,LA01001,AG103448,AG108648,ZONE115,RA222,Advisor
L2,Mr.,1995/11/01,Male,,2020/09/29,TERMINATED,RESIGNED UNAPPROVED,2020/12/14,Vavuniya,LA01004,AG100008,AG105394,ZONE101,RA253,Advisor
L2,Mr.,1997/10/01,Male,Single,2020/10/06,INFORCED,ACTIVE,,Galgamuwa,LA01006,AG102297,AG108212,ZONE102,RA200,Advisor
L2,Ms.,1983/03/01,Female,Married,2020/10/14,INFORCED,ACTIVE,,Tissamaharama,LA01002,AG105217,AG107045,ZONE111,RA228,Advisor
L3,Mr.,1996/02/01,Male,Single,2020/12/30,INFORCED,ACTIVE,,Embilipitiya,LA01001,AG100736,AG100665,ZONE110,RA246,Team Leader
L2,Mrs.,1984/08/01,Female,Married,2021/01/25,INFORCED,ACTIVE,,Wariyapola,LA01002,AG102941,AG101153,ZONE113,RA234,Advisor
L2,Mr.,1956/10/01,Male,Married,2021/01/27,INFORCED,ACTIVE,,Gampaha,LA01001,AG106354,AG100352,ZONE106,RA229,Advisor
L2,Ms.,1999/08/01,Female,Single,2021/02/18,INFORCED,ACTIVE,,Battaramulla,LA01002,AG101394,AG102097,ZONE114,RA257,Advisor
L1,,,,,2001/12/14,INFORCED,ACTIVE,,Colombo 03,LA01002,,,,,
L1,,,,,2001/12/14,INFORCED,ACTIVE,,Colombo 03,LB05001,,,,,
L1,,,,,2020/10/29,INFORCED,ACTIVE,,Colombo 03,LB02001,,,,,
L1,,,,,2020/10/29,INFORCED,ACTIVE,,Colombo 03,LB02001,,,,,
L1,,,,,2018/01/16,INFORCED,ACTIVE,,Colombo 03,LB07001,,,,,
L4,Mr.,1991/01/01,Male,,2012/12/20,INFORCED,ACTIVE,,Colombo 03,LB01001,,,,,Sales Manager
L2,Ms.,2000/07/01,Female,Single,2018/12/10,TERMINATED,RESIGNED APPROVED,2019/02/18,Ragama,LB01001,,,,,Advisor
L2,Ms.,1993/06/01,Female,Single,2019/07/08,TERMINATED,RESIGNED APPROVED,2019/09/30,Kandy,LB01001,,,,,Advisor
L1,,,,,2019/03/19,INFORCED,ACTIVE,,Colombo 05,LC02001,,,,,
L1,,,,,2019/03/19,INFORCED,ACTIVE,,Colombo 05,LC02001,,,,,
L1,,,,,2019/03/19,INFORCED,ACTIVE,,Colombo 05,LC02001,,,,,
L1,,,,,2019/03/19,INFORCED,ACTIVE,,Colombo 05,LC02001,,,,,
L1,Mr.,1997/03/01,Male,,2017/09/28,INFORCED,ACTIVE,,Colombo 03,LA01001,,,,,
L1,,,,,2019/01/19,INFORCED,ACTIVE,,Colombo 03,LB03001,,,,,
L1,,,,,2019/01/19,INFORCED,ACTIVE,,Colombo 03,LB03001,,,,,
L1,Ms.,,,,2020/11/25,TERMINATED,AUTOTERMINATED,2021/03/08,CHEDDIPALAYAM,LA01004,,,,,
L1,Mr.,,,,2020/11/28,INFORCED,ACTIVE,,Tanthrimale,LA01006,,,,,
L1,Mr.,,,,2021/01/25,TERMINATED,TERMINATED BY SFA,2021/02/16,WELIMADA,LA01001,,,,,
L2,Ms.,1995/10/01,Female,Single,2020/02/24,INFORCED,ACTIVE,,Dewanagala,LB02001,,,,,Advisor
L2,Ms.,1997/12/01,Female,Single,2020/02/10,TERMINATED,RESIGNED APPROVED,2020/06/30,Hungama,LB05001,,,,,Advisor
L2,Mr.,1997/06/01,Male,Single,2019/09/03,TERMINATED,RESIGNED APPROVED,2019/10/16,Angoda,LB07001,,,,,Advisor
L2,Mrs.,1980/07/01,Female,,2013/05/17,INFORCED,ACTIVE,,Bandarawela,LA01001,AG105818,AG103663,ZONE115,RA288,Advisor
L2,Mrs.,1982/01/01,Female,,2015/07/08,TERMINATED,AUTOTERMINATED,2019/10/15,Tissamaharama,LA01002,AG101119,AG102195,ZONE111,RA258,Advisor
L2,Ms.,1993/09/01,Female,,2015/08/14,TERMINATED,RESIGNED UNAPPROVED,2019/05/08,Anuradhapura,LA01006,AG104953,AG102960,ZONE102,RA256,Advisor
L3,Mr.,1989/06/01,Male,,2016/05/17,INFORCED,ACTIVE,,Kottawa,LA01002,AG104545,AG105151,ZONE114,RA257,Team Leader
L3,Mr.,1973/11/01,Male,,2009/07/01,TERMINATED,AUTOTERMINATED,2019/03/31,Teldeniya,LA01001,AG102892,AG101697,ZONE115,RA222,Team Leader
L2,Mrs.,1982/11/01,Female,,2017/08/24,TERMINATED,AUTOTERMINATED,2018/10/31,Monaragala,LA01002,AG100081,AG102950,ZONE105,RA216,Advisor
L3,Mr.,1979/03/01,Male,,2014/07/09,INFORCED,ACTIVE,,Colombo 03,LA01002,AG101540,AG101697,ZONE111,RA278,Team Leader
L2,Mr.,1997/07/01,Male,,2018/03/29,TERMINATED,AUTOTERMINATED,2018/10/31,Colombo 03,LA01002,AG100260,AG101697,ZONE105,RA216,Advisor
L2,Ms.,1995/03/01,Female,,2018/05/03,TERMINATED,AUTOTERMINATED,2019/03/31,Colombo 03,LA01002,AG105565,AG104914,ZONE111,RA217,Advisor
L2,Mr.,1991/05/01,Male,,2018/05/08,TERMINATED,RESIGNED APPROVED,2019/06/18,Colombo 03,LA01006,AG103350,AG108835,ZONE102,RA245,Advisor
L2,Mrs.,1986/06/01,Female,,2018/05/22,TERMINATED,AUTOTERMINATED,2018/10/31,Colombo 03,LA01002,AG107012,AG102950,ZONE105,RA216,Advisor
L2,Ms.,1991/01/01,Female,,2018/06/28,TERMINATED,AUTOTERMINATED,2019/03/31,Colombo 03,LA01002,AG102160,AG104089,ZONE114,RA247,Advisor
L2,Mr.,1989/04/01,Male,,2018/06/21,TERMINATED,TERMINATED BY SFA,2019/05/07,Colombo 03,LA01001,AG102691,AG108832,ZONE108,RA276,Advisor
L2,Mr.,1985/10/01,Male,,2018/07/25,TERMINATED,AUTOTERMINATED,2019/03/31,Colombo 03,LA01002,AG107776,AG101881,ZONE105,RA235,Advisor
L2,Mrs.,1987/09/01,Female,,2018/07/24,TERMINATED,AUTOTERMINATED,2018/10/31,Colombo 03,LA01001,AG101590,AG105940,ZONE110,RA225,Advisor
L2,Mr.,1983/09/01,Male,Married,2018/09/17,INFORCED,ACTIVE,,Polgasowita,LA01001,AG103112,AG107050,ZONE110,RA248,Advisor
L2,Mr.,1983/04/01,Male,Single,2018/09/17,TERMINATED,AUTOTERMINATED,2019/07/19,Lunugamwehera,LA01002,AG107440,AG102880,ZONE111,RA258,Advisor
L2,Mrs.,1976/08/01,Female,Married,2018/10/17,TERMINATED,TERMINATED BY SFA,2019/06/21,Galle,LA01002,AG103572,AG109147,ZONE111,RA230,Advisor
L2,Mr.,1999/06/01,Male,Single,2018/11/30,TERMINATED,RESIGNED UNAPPROVED,2019/03/14,Kalutara,LA01002,AG101655,AG106285,ZONE109,RA285,Advisor
L2,Mr.,1998/02/01,Male,Single,2019/01/08,TERMINATED,AUTOTERMINATED,2019/07/25,Matara,LA01002,AG108404,AG104459,ZONE111,RA217,Advisor
L2,Mr.,1981/03/01,Male,,2019/05/08,INFORCED,ACTIVE,,Panadura,LA01002,AG100350,AG103114,ZONE109,RA254,Advisor
